"","zip","county","County.FIP","Name","State","State.FIP","County.Name"
"2220","45403",39113,113,"Ohio","OH",39,"Montgomery County"
"2221","45614",39053,53,"Ohio","OH",39,"Gallia County"
"2222","45475",39113,113,"Ohio","OH",39,"Montgomery County"
"2223","45620",39105,105,"Ohio","OH",39,"Meigs County"
"2224","45202",39061,61,"Ohio","OH",39,"Hamilton County"
"2225","45208",39061,61,"Ohio","OH",39,"Hamilton County"
"2226","45215",39061,61,"Ohio","OH",39,"Hamilton County"
"2227","45225",39061,61,"Ohio","OH",39,"Hamilton County"
"2228","45144",39001,1,"Ohio","OH",39,"Adams County"
"2229","45203",39061,61,"Ohio","OH",39,"Hamilton County"
"2230","45382",39037,37,"Ohio","OH",39,"Darke County"
"2231","43702",39119,119,"Ohio","OH",39,"Muskingum County"
"2232","43734",39119,119,"Ohio","OH",39,"Muskingum County"
"2233","43757",39111,111,"Ohio","OH",39,"Monroe County"
"2234","43720",39119,119,"Ohio","OH",39,"Muskingum County"
"2235","43457",39143,143,"Ohio","OH",39,"Sandusky County"
"2236","45863",39161,161,"Ohio","OH",39,"Van Wert County"
"2237","43983",39067,67,"Ohio","OH",39,"Harrison County"
"2238","43010",39023,23,"Ohio","OH",39,"Clark County"
"2239","43750",39059,59,"Ohio","OH",39,"Guernsey County"
"2240","45111",39061,61,"Ohio","OH",39,"Hamilton County"
"2241","43073",39089,89,"Ohio","OH",39,"Licking County"
"2242","43713",39059,59,"Ohio","OH",39,"Guernsey County"
"2243","43109",39049,49,"Ohio","OH",39,"Franklin County"
"2244","45616",39145,145,"Ohio","OH",39,"Scioto County"
"2245","43961",39081,81,"Ohio","OH",39,"Jefferson County"
"2246","43011",39117,117,"Ohio","OH",39,"Morrow County"
"2247","45656",39087,87,"Ohio","OH",39,"Lawrence County"
"2248","43152",39163,163,"Ohio","OH",39,"Vinton County"
"2249","43101",39141,141,"Ohio","OH",39,"Ross County"
"2250","45234",39061,61,"Ohio","OH",39,"Hamilton County"
"2251","45235",39061,61,"Ohio","OH",39,"Hamilton County"
"2252","45114",39027,27,"Ohio","OH",39,"Clinton County"
"2253","43506",39039,39,"Ohio","OH",39,"Defiance County"
"2254","43036",39159,159,"Ohio","OH",39,"Union County"
